Type,SKU,"GTIN, UPC, EAN of ISBN",Naam,Gepubliceerd,Zichtbaarheid in catalogus,Korte beschrijving,Beschrijving,Btw status,Belastingklasse,Op voorraad?,Voorraad,Nabestellingen toestaan?,Actieprijs,Reguliere prijs,Categorieën,Tags,Afbeeldingen,Hoofd,Gegroepeerde producten,Cross-sells,Positie,Custom URI,Merken,Attribuut 1 naam,Attribuut 1 waarde(n),Attribuut 1 zichtbaar,Attribuut 1 globaal,Attribuut 2 naam,Attribuut 2 waarde(n),Attribuut 2 zichtbaar,Attribuut 2 globaal,Attribuut 3 naam,Attribuut 3 waarde(n),Attribuut 3 zichtbaar,Attribuut 3 globaal,Attribuut 4 naam,Attribuut 4 waarde(n),Attribuut 4 zichtbaar,Attribuut 4 globaal,Attribuut 5 naam,Attribuut 5 waarde(n),Attribuut 5 zichtbaar,Attribuut 5 globaal,Attribuut 6 naam,Attribuut 6 waarde(n),Attribuut 6 zichtbaar,Attribuut 6 globaal,Meta: _levertijd_product
grouped,b-braun-surecan-poortnaald-met-vleugels,,B.Braun Surecan poortnaald met vleugels,1,search,"Bestel B.Braun Surecan poortnaald met vleugels snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.",,taxable,hoog,backorder,0,notify,,,"Injectiemateriaal, Injectiemateriaal > Naalden, Injectiemateriaal > Naalden > Poortnaalden",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161615/bbraun-surecan-poortnaald-met-vleugels.jpg,,"4448391, 4448405",,0,b-braun-surecan-poortnaald-met-vleugels,"B.Braun, B.Braun > B.Braun Surecan",Naaldlengte,"20 mm, 25 mm",1,1,Gauge,22 G,1,1,,,,,,,,,,,,,,,,,
grouped,b-braun-pencan-spinaalnaald,,B.Braun Pencan spinaalnaald,1,visible,"<p>Bestel B.Braun Pencan spinaalnaald snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.</p>",,taxable,hoog,backorder,0,notify,,,"Injectiemateriaal, Injectiemateriaal > Naalden, Injectiemateriaal > Naalden > Spinaalnaalden",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/04/20162411/4cab998875315cd2dc536059417b607d.jpg,,"4502043, 4502116, 4502051, 4502124",,0,b-braun-pencan-spinaalnaald,"B.Braun, B.Braun > B.Braun Pencan",Gauge,"25 G, 27 G",1,1,Naaldlengte,"103 mm, 88 mm",1,1,,,,,,,,,,,,,,,,,
grouped,bd-microfine-pennaald,,BD Microfine Pennaald,1,search,"<p>Bestel BD Microfine Pennaald snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.</p>\n",,taxable,laag,backorder,0,notify,,,"Injectiemateriaal, Injectiemateriaal > Naalden, Injectiemateriaal > Naalden > Pennaalden",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/04/20163109/bd-microfine-pennaald-31-g-025-x-5-mm-1.webp,,320794,,0,bd-microfine-pennaald,"BD, BD > BD Microfine",Gauge,31 G,1,1,Naaldlengte,5 mm,1,1,,,,,,,,,,,,,,,,,
grouped,b-braun-perfusor-lines-extensielijn,,B.Braun Perfusor Lines Extensielijn,1,search,"<p>Bestel B.Braun Perfusor Lines Extensielijn snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.</p>\n",,taxable,hoog,backorder,0,notify,,,"EHBO > Reanimatie > Circulatie, EHBO, EHBO > Reanimatie > Circulatie > Infuusslangen, EHBO > Reanimatie",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161617/bbraun-perfusor-lines-extensielijn.jpg,,"8722960, 8722935",,0,b-braun-perfusor-lines-extensielijn,"B.Braun, B.Braun > B.Braun Perfusor",,,,,,,,,,,,,,,,,,,,,,,,,
grouped,b-braun-stimuplex-ultra-360-plexusnaald,,B.Braun Stimuplex Ultra 360 plexusnaald,1,search,"<p>Bestel B.Braun Stimuplex Ultra 360 plexusnaald snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.</p>\n",,taxable,hoog,backorder,0,notify,,,"Injectiemateriaal, Injectiemateriaal > Naalden, Injectiemateriaal > Naalden > Plexusnaalden",C,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/04/20163118/bbraun-stimuplex-ultra-360-22gx80mm-1.webp,,"4892505-01, 4892508-01",,0,b-braun-stimuplex-ultra-360-plexusnaald,"B.Braun, B.Braun > B.Braun Stimuplex",Naaldlengte,"50 mm, 80 mm",1,1,Gauge,22 G,1,1,,,,,,,,,,,,,,,,,
grouped,bd-connecta-plus-driewegkraan-met-slang-,,BD Connecta Plus Driewegkraan met slang,1,visible,"<p>Bestel BD Connecta Plus Driewegkraan met slang snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.</p>",,taxable,laag,backorder,0,notify,,,"EHBO > Reanimatie > Circulatie, EHBO > Reanimatie > Circulatie > Driewegkranen, EHBO, EHBO > Reanimatie",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161614/bd-connecta-plus-driewegkraan-met-slang.jpg,,"394997, 394995",,0,bd-connecta-plus-driewegkraan-met-slang,"BD, BD > BD Connecta Plus",Kleur kraan,"Blauw, Wit",1,1,,,,,,,,,,,,,,,,,,,,,
grouped,bd-eclipse-veiligheidsnaald,,BD Eclipse Veiligheidsnaald,1,visible,"Bestel BD Eclipse Veiligheidsnaald snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.",,taxable,hoog,backorder,0,notify,,,"Injectiemateriaal, Injectiemateriaal > Naalden, Injectiemateriaal > Naalden > Veiligheidsnaalden",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/04/20162400/afdcc1b5c2d7eea883eb3470495f549c.jpg,,"302437, 305888, 305894, 305895, 305782, 305892, 305760, 305891, 305770, 305771",,0,bd-eclipse-veiligheidsnaald,"BD, BD > BD Eclipse",Gauge,"18 G, 20 G, 21 G, 22 G, 23 G, 25 G, 27 G, 30 G",1,1,Kleur,Groen,1,1,Naaldlengte,"13 mm, 16 mm, 25 mm, 30 mm, 40 mm",1,1,,,,,,,,,,,,,
grouped,bd-microtainer-veiligheidslancet,,BD Microtainer Veiligheidslancet,1,search,"<p>Bestel BD Microtainer Veiligheidslancet snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.</p>\n",,taxable,hoog,backorder,0,notify,,,"Laboratorium, Laboratorium > Prikpennen & Lancetten > Lancetten, Laboratorium > Prikpennen & Lancetten",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161611/bd-microtainer-veiligheidslancet.jpg,,366593,,0,bd-microtainer-veiligheidslancet,"BD, BD > BD Microtainer",Naaldlengte,"1\,8 mm",1,1,Gauge,21 G,1,1,,,,,,,,,,,,,,,,,
grouped,littmann-master-cardiology,,Littmann Master Cardiology,1,search,"Bestel Littmann Master Cardiology snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.","Maak het verschil met de onmiskenbare, onderscheidende kwaliteit van een 3M™ Littmann® Master Cardiology™ stethoscoop. Onze niet-elektronische topstethoscoop biedt u de kwaliteit en duurzaamheid die u van 3M kunt verwachten.\n\nHet vlaggenschip van auscultatie. Ontworpen om aan de behoeften van de meest veeleisende medische professionals te voldoen. De 3M™ Littmann Master Cardiology ™ stethoscoop staat garant voor een uitzonderlijke geluidskwaliteit.",taxable,hoog,backorder,0,notify,,,"Diagnostiek, Diagnostiek > Diagnostische apparaten, Diagnostiek > Diagnostische apparaten > Stethoscopen",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/04/20163151/3mx2122-littmann-master-cardiologyx2122-stethoscoop-zwart-met-messing-borststuk-en-messing-oorbeugel-1.webp,,"2175, 2160, 2164, 2163, 2167, 2176, 2161",,0,littmann-master-cardiology,"3M Nederland > 3M Littmann, 3M Nederland",Kleur slang,"Bordeaux, Marineblauw, Pruim, Zwart",1,1,Kleur borststuk,"Messing, Smoke, Zilver, Zwart",1,1,Afwerking borststuk,"Bewerkt RVS, Gepolijst RVS, Mat, Messing",1,1,,,,,,,,,,,,,
grouped,b-braun-histoacril-huidlijm-0-5-ml,,"B.Braun Histoacril huidlijm 0,5 ml",1,visible,"Bestel B.Braun Histoacril huidlijm 0,5 ml snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.",,taxable,laag,backorder,0,notify,,,"Verbruiksmateriaal > Hechtmateriaal > Hechtlijm, Verbruiksmateriaal > Hechtmateriaal, Verbruiksmateriaal",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/04/20162412/a343f0c8f758e5634281a4f446a5c8cc.jpg,,"1050060, 1050052",,0,b-braun-histoacril-huidlijm-05-ml,B.Braun,Kleur lijm,"Blauw, Transparant",1,1,,,,,,,,,,,,,,,,,,,,,
grouped,hansaplast-sport-kniebandage,,Hansaplast Sport kniebandage,1,search,"<p>Bestel Hansaplast Sport kniebandage snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.</p>\n",,taxable,laag,backorder,0,notify,,,"Verbandmiddelen > Bandage, Verbandmiddelen > Bandage > Kniebandage, Verbandmiddelen",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161513/hansaplast-sport-kniebandage.jpg,,"46992, 46993",,0,hansaplast-sport-kniebandage,BSN Medical Solutions,Maat,"L, M",1,1,,,,,,,,,,,,,,,,,,,,,
grouped,870,,I-Gel Resus Pack,1,search,"Bestel I-Gel Resus Pack snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.",,taxable,laag,backorder,,0,,,"EHBO > Reanimatie > Ademweg, EHBO, EHBO > Reanimatie > Ademweg > Larynxmaskers, EHBO > Reanimatie",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161458/i-gel-resus-pack.jpg,,"8703000, 8704000, 8705000",,0,i-gel-resus-pack,Intersurgical,Maat,"3, 4, 5",1,1,,,,,,,,,,,,,,,,,,,,,
grouped,36021,,BD Vacutainer precision glide multi-sample bloedafnamenaald,1,search,"Bestel BD Vacutainer precision glide multi-sample bloedafnamenaald snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.",,taxable,hoog,backorder,0,notify,,,"Injectiemateriaal > Naalden > Bloedafname naalden, Injectiemateriaal, Injectiemateriaal > Naalden",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161606/bd-vacutainer-precision-glide-multi-sample-bloedafnamenaald.jpg,,"360215, 360211",,0,bd-vacutainer-precision-glide-multi-sample-bloedafnamenaald,"BD, BD > BD Vacutainer",Naaldlengte,38 mm,1,1,Gauge,"20 G, 22 G",1,1,,,,,,,,,,,,,,,,,
grouped,3688,,BD Vacutainer K2 EDTA bloedbuizen lila,1,search,"Bestel BD Vacutainer K2 EDTA bloedbuizen lila snel en eenvoudig bij Plastimed.nl, uw betrouwbare partner voor hoogwaardige kwaliteitsproducten. Wij zijn er trots op dat al onze producten afkomstig zijn van gerenommeerde A-merken, wat betekent dat u kunt rekenen op topkwaliteit en betrouwbaarheid in elk product dat we aanbieden.",,taxable,hoog,backorder,0,notify,,,"Injectiemateriaal > Injectie toebehoren > Bloedbuizen, Injectiemateriaal > Injectie toebehoren, Injectiemateriaal",,https://d34epw5xn6aguw.cloudfront.net/wp-content/uploads/2024/08/20161608/bd-vacutainer-k2-edta-bloedbuizen-lila.jpg,,"368841, 368861, 367864",,0,bd-vacutainer-k2-edta-bloedbuizen-lila-4,"BD, BD > BD Vacutainer",Inhoud,"2 ml, 4 ml, 6 ml",1,1,,,,,,,,,,,,,,,,,,,,,
